Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/01/2023
TIME       : 08:59:26
FILENAME   : C:\Users\getac\AppData\Roaming\DiverOffice\Rhone_Arve_04012022\CSV\dk176_230105085926_DK176.CSV
CREATED BY : Diver-Office 9.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-DK176  219.
  Instrument number       =-675520   UTC-1     
                          =0
  Location                =dk176
  Sample period           =S01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-DK176  219.
  Instrument number       =-675520   UTC-1     
  Location                =dk176
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:11 04/01/23
  End date / time         =59:29:07 05/01/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time;Pression[cm];Température[°C]
2023/01/04 11:30:00;1007.017;17.327
2023/01/04 11:30:01;1006.833;17.320
2023/01/04 11:30:02;1007.017;17.327
2023/01/04 11:30:03;1007.383;17.310
2023/01/04 11:30:04;1007.383;17.320
2023/01/04 11:30:05;1007.383;17.327
2023/01/04 11:30:06;1007.200;17.320
2023/01/04 11:30:07;1006.742;17.310
2023/01/04 11:30:08;1007.017;17.310
2023/01/04 11:30:09;1007.383;17.310
2023/01/04 11:30:10;1007.200;17.310
2023/01/04 11:30:11;1006.833;17.297
2023/01/04 11:30:12;1007.200;17.310
2023/01/04 11:30:13;1007.017;17.287
2023/01/04 11:30:14;1006.833;17.280
2023/01/04 11:30:15;1007.200;17.280
2023/01/04 11:30:16;1007.017;17.280
2023/01/04 11:30:17;1007.200;17.280
2023/01/04 11:30:18;1007.017;17.273
2023/01/04 11:30:19;1007.017;17.263
2023/01/04 11:30:20;1006.833;17.263
2023/01/04 11:30:21;1007.017;17.257
2023/01/04 11:30:22;1007.017;17.257
2023/01/04 11:30:23;1007.200;17.263
2023/01/04 11:30:24;1007.200;17.257
2023/01/04 11:30:25;1007.200;17.250
2023/01/04 11:30:26;1007.383;17.240
2023/01/04 11:30:27;1007.200;17.250
2023/01/04 11:30:28;1007.200;17.233
2023/01/04 11:30:29;1007.200;17.233
2023/01/04 11:30:30;1007.200;17.250
2023/01/04 11:30:31;1007.200;17.240
2023/01/04 11:30:32;1007.475;17.223
2023/01/04 11:30:33;1007.200;17.223
2023/01/04 11:30:34;1007.475;17.217
2023/01/04 11:30:35;1007.383;17.217
2023/01/04 11:30:36;1007.383;17.210
2023/01/04 11:30:37;1007.200;17.217
2023/01/04 11:30:38;1007.383;17.210
2023/01/04 11:30:39;1007.017;17.210
2023/01/04 11:30:40;1006.833;17.210
2023/01/04 11:30:41;1007.017;17.200
2023/01/04 11:30:42;1007.108;17.187
2023/01/04 11:30:43;1007.108;17.187
2023/01/04 11:30:44;1006.833;17.193
2023/01/04 11:30:45;1006.925;17.187
2023/01/04 11:30:46;1006.925;17.177
2023/01/04 11:30:47;1007.292;17.170
2023/01/04 11:30:48;1007.383;17.163
2023/01/04 11:30:49;1007.383;17.163
2023/01/04 11:30:50;1007.383;17.163
2023/01/04 11:30:51;1007.108;17.170
2023/01/04 11:30:52;1007.383;17.153
2023/01/04 11:30:53;1007.383;17.163
2023/01/04 11:30:54;1007.383;17.153
2023/01/04 11:30:55;1007.200;17.153
2023/01/04 11:30:56;1007.200;17.147
2023/01/04 11:30:57;1006.833;17.147
2023/01/04 11:30:58;1007.017;17.147
2023/01/04 11:30:59;1006.833;17.147
2023/01/04 11:31:00;1007.017;17.140
2023/01/04 11:31:01;1006.833;17.130
2023/01/04 11:31:02;1007.383;17.123
2023/01/04 11:31:03;1007.017;17.130
2023/01/04 11:31:04;1006.833;17.123
2023/01/04 11:31:05;1007.200;17.123
2023/01/04 11:31:06;1007.200;17.117
2023/01/04 11:31:07;1007.017;17.123
2023/01/04 11:31:08;1007.017;17.117
2023/01/04 11:31:09;1007.017;17.107
2023/01/04 11:31:10;1007.475;17.100
2023/01/04 11:31:11;1007.017;17.093
2023/01/04 11:31:12;1006.833;17.100
2023/01/04 11:31:13;1006.558;17.093
2023/01/04 11:31:14;1006.833;17.093
2023/01/04 11:31:15;1007.200;17.093
2023/01/04 11:31:16;1007.017;17.070
2023/01/04 11:31:17;1007.017;17.093
2023/01/04 11:31:18;1006.833;17.083
2023/01/04 11:31:19;1007.200;17.070
2023/01/04 11:31:20;1007.017;17.060
