Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/01/2023
TIME       : 08:50:20
FILENAME   : C:\Users\getac\AppData\Roaming\DiverOffice\Rhone_Arve_04012022\CSV\dk182_230105085019_DK182.CSV
CREATED BY : Diver-Office 9.1.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-DK182  219.
  Instrument number       =638942    UTC-1     
                          =0
  Location                =dk182
  Sample period           =S01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-DK182  219.
  Instrument number       =638942    UTC-1     
  Location                =dk182
  Sample period           =00 00:00:01 0
  Sample method           =T   
  Start date / time       =00:30:11 04/01/23
  End date / time         =59:29:07 05/01/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =2750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time;Pression[cm];Température[°C]
2023/01/04 11:30:00;1007.292;16.037
2023/01/04 11:30:01;1007.017;16.020
2023/01/04 11:30:02;1006.925;16.027
2023/01/04 11:30:03;1007.017;16.027
2023/01/04 11:30:04;1007.017;16.013
2023/01/04 11:30:05;1007.200;16.037
2023/01/04 11:30:06;1007.292;16.003
2023/01/04 11:30:07;1007.200;16.013
2023/01/04 11:30:08;1007.017;16.020
2023/01/04 11:30:09;1007.200;15.997
2023/01/04 11:30:10;1007.200;16.013
2023/01/04 11:30:11;1007.200;15.990
2023/01/04 11:30:12;1007.292;15.990
2023/01/04 11:30:13;1007.200;15.997
2023/01/04 11:30:14;1006.925;15.980
2023/01/04 11:30:15;1007.017;15.973
2023/01/04 11:30:16;1007.200;15.980
2023/01/04 11:30:17;1007.017;15.973
2023/01/04 11:30:18;1007.017;15.963
2023/01/04 11:30:19;1007.200;15.973
2023/01/04 11:30:20;1007.292;15.957
2023/01/04 11:30:21;1007.017;15.963
2023/01/04 11:30:22;1007.017;15.957
2023/01/04 11:30:23;1006.925;15.963
2023/01/04 11:30:24;1007.017;15.950
2023/01/04 11:30:25;1006.925;15.950
2023/01/04 11:30:26;1007.200;15.940
2023/01/04 11:30:27;1007.017;15.933
2023/01/04 11:30:28;1006.925;15.933
2023/01/04 11:30:29;1006.650;15.933
2023/01/04 11:30:30;1006.925;15.927
2023/01/04 11:30:31;1006.742;15.927
2023/01/04 11:30:32;1006.925;15.917
2023/01/04 11:30:33;1007.017;15.927
2023/01/04 11:30:34;1006.925;15.917
2023/01/04 11:30:35;1007.017;15.910
2023/01/04 11:30:36;1006.925;15.917
2023/01/04 11:30:37;1006.925;15.903
2023/01/04 11:30:38;1007.017;15.903
2023/01/04 11:30:39;1007.017;15.903
2023/01/04 11:30:40;1006.742;15.880
2023/01/04 11:30:41;1007.017;15.887
2023/01/04 11:30:42;1007.017;15.893
2023/01/04 11:30:43;1007.292;15.880
2023/01/04 11:30:44;1006.925;15.880
2023/01/04 11:30:45;1007.017;15.870
2023/01/04 11:30:46;1007.200;15.887
2023/01/04 11:30:47;1007.200;15.863
2023/01/04 11:30:48;1006.925;15.857
2023/01/04 11:30:49;1007.017;15.863
2023/01/04 11:30:50;1007.200;15.863
2023/01/04 11:30:51;1006.925;15.857
2023/01/04 11:30:52;1006.742;15.847
2023/01/04 11:30:53;1007.017;15.847
2023/01/04 11:30:54;1006.925;15.847
2023/01/04 11:30:55;1006.925;15.833
2023/01/04 11:30:56;1007.017;15.840
2023/01/04 11:30:57;1006.925;15.823
2023/01/04 11:30:58;1007.200;15.833
2023/01/04 11:30:59;1006.925;15.817
2023/01/04 11:31:00;1006.925;15.817
2023/01/04 11:31:01;1007.017;15.833
2023/01/04 11:31:02;1007.017;15.800
2023/01/04 11:31:03;1006.925;15.817
2023/01/04 11:31:04;1006.650;15.817
2023/01/04 11:31:05;1006.742;15.810
2023/01/04 11:31:06;1007.017;15.800
2023/01/04 11:31:07;1006.925;15.800
2023/01/04 11:31:08;1006.925;15.793
2023/01/04 11:31:09;1007.017;15.800
2023/01/04 11:31:10;1007.017;15.793
2023/01/04 11:31:11;1007.017;15.793
2023/01/04 11:31:12;1006.742;15.770
2023/01/04 11:31:13;1006.925;15.787
2023/01/04 11:31:14;1007.017;15.793
2023/01/04 11:31:15;1006.650;15.787
2023/01/04 11:31:16;1006.650;15.770
2023/01/04 11:31:17;1006.650;15.777
2023/01/04 11:31:18;1007.017;15.753
2023/01/04 11:31:19;1006.742;15.770
2023/01/04 11:31:20;1006.925;15.763
2023/01/04 11:31:21;1006.925;15.763
2023/01/04 11:31:22;1006.742;15.747
2023/01/04 11:31:23;1006.742;15.753
2023/01/04 11:31:24;1006.742;15.740
2023/01/04 11:31:25;1007.017;15.747
2023/01/04 11:31:26;1007.017;15.740
2023/01/04 11:31:27;1006.742;15.740
2023/01/04 11:31:28;1007.017;15.747
2023/01/04 11:31:29;1007.017;15.747
2023/01/04 11:31:30;1007.200;15.723
2023/01/04 11:31:31;1007.017;15.740
2023/01/04 11:31:32;1006.925;15.713
2023/01/04 11:31:33;1007.017;15.730
2023/01/04 11:31:34;1006.742;15.707
2023/01/04 11:31:35;1006.925;15.713
2023/01/04 11:31:36;1006.925;15.707
2023/01/04 11:31:37;1006.742;15.707
2023/01/04 11:31:38;1006.742;15.700
2023/01/04 11:31:39;1006.925;15.690
2023/01/04 11:31:40;1007.200;15.690
2023/01/04 11:31:41;1007.017;15.690
2023/01/04 11:31:42;1006.925;15.683
