"Titre de tracé : 21458365"
"#","Date Heure, GMT-01:00","Plage basse, μS/cm (LGR S/N: 21458365, SEN S/N: 21458365)","Plage complète, μS/cm (LGR S/N: 21458365, SEN S/N: 21458365)","Temp., °C (LGR S/N: 21458365, SEN S/N: 21458365)","Coupleur détaché (LGR S/N: 21458365)","Fin de fichier (LGR S/N: 21458365)"
1,01/04/23 11:30:00 AM,3.4,-1.7,15.12,Enregistré,
2,01/04/23 11:30:01 AM,3.1,-0.1,15.12,,
3,01/04/23 11:30:02 AM,1.4,-1.3,15.12,,
4,01/04/23 11:30:03 AM,1.5,2.8,15.13,,
5,01/04/23 11:30:04 AM,1.5,2.8,15.13,,
6,01/04/23 11:30:05 AM,1.4,2.8,15.13,,
7,01/04/23 11:30:06 AM,0.6,2.8,15.13,,
8,01/04/23 11:30:07 AM,1.4,2.8,15.13,,
9,01/04/23 11:30:08 AM,3.1,2.8,15.13,,
10,01/04/23 11:30:09 AM,1.4,2.8,15.12,,
11,01/04/23 11:30:10 AM,3.4,2.8,15.12,,
12,01/04/23 11:30:11 AM,1.4,2.8,15.11,,
13,01/04/23 11:30:12 AM,1.4,2.8,15.10,,
14,01/04/23 11:30:13 AM,1.5,-1.3,15.11,,
15,01/04/23 11:30:14 AM,3.4,2.8,15.11,,
16,01/04/23 11:30:15 AM,1.4,2.8,15.11,,
17,01/04/23 11:30:16 AM,1.5,2.8,15.12,,
18,01/04/23 11:30:17 AM,1.4,-1.3,15.11,,
19,01/04/23 11:30:18 AM,1.5,-1.3,15.11,,
20,01/04/23 11:30:19 AM,3.1,2.8,15.11,,
21,01/04/23 11:30:20 AM,3.4,2.8,15.11,,
22,01/04/23 11:30:21 AM,3.4,2.8,15.11,,
23,01/04/23 11:30:22 AM,1.4,2.8,15.11,,
24,01/04/23 11:30:23 AM,3.4,2.8,15.11,,
25,01/04/23 11:30:24 AM,1.4,2.8,15.11,,
26,01/04/23 11:30:25 AM,3.1,-0.1,15.11,,
27,01/04/23 11:30:26 AM,3.4,2.8,15.11,,
28,01/04/23 11:30:27 AM,3.4,2.8,15.11,,
29,01/04/23 11:30:28 AM,1.5,2.8,15.11,,
30,01/04/23 11:30:29 AM,1.4,-0.1,15.11,,
31,01/04/23 11:30:30 AM,3.1,2.8,15.11,,
32,01/04/23 11:30:31 AM,3.4,2.8,15.11,,
33,01/04/23 11:30:32 AM,3.1,2.8,15.11,,
34,01/04/23 11:30:33 AM,3.1,-1.3,15.11,,
35,01/04/23 11:30:34 AM,3.1,2.8,15.10,,
36,01/04/23 11:30:35 AM,1.4,2.8,15.11,,
37,01/04/23 11:30:36 AM,3.1,-1.3,15.10,,
38,01/04/23 11:30:37 AM,1.4,2.8,15.11,,
39,01/04/23 11:30:38 AM,1.5,2.8,15.10,,
40,01/04/23 11:30:39 AM,3.4,2.8,15.10,,
41,01/04/23 11:30:40 AM,1.5,2.8,15.10,,
42,01/04/23 11:30:41 AM,1.5,2.8,15.10,,
43,01/04/23 11:30:42 AM,3.1,-1.3,15.10,,
44,01/04/23 11:30:43 AM,3.1,2.8,15.10,,
45,01/04/23 11:30:44 AM,3.4,2.8,15.10,,
46,01/04/23 11:30:45 AM,1.4,2.8,15.10,,
47,01/04/23 11:30:46 AM,1.5,2.8,15.10,,
48,01/04/23 11:30:47 AM,3.1,2.8,15.08,,
49,01/04/23 11:30:48 AM,3.1,-1.3,15.08,,
50,01/04/23 11:30:49 AM,1.4,2.8,15.08,,
51,01/04/23 11:30:50 AM,1.5,2.8,15.08,,
52,01/04/23 11:30:51 AM,3.4,2.8,15.08,,
53,01/04/23 11:30:52 AM,3.1,-0.1,15.07,,
54,01/04/23 11:30:53 AM,1.5,-0.1,15.06,,
55,01/04/23 11:30:54 AM,1.5,2.8,15.04,,
56,01/04/23 11:30:55 AM,1.4,2.8,15.03,,
57,01/04/23 11:30:56 AM,1.5,2.8,15.03,,
58,01/04/23 11:30:57 AM,1.4,2.8,15.03,,
59,01/04/23 11:30:58 AM,1.4,2.8,15.02,,
60,01/04/23 11:30:59 AM,3.1,-0.1,15.03,,
61,01/04/23 11:31:00 AM,3.1,-0.1,15.02,,
62,01/04/23 11:31:01 AM,1.5,2.8,15.03,,
63,01/04/23 11:31:02 AM,1.5,2.8,15.03,,
64,01/04/23 11:31:03 AM,1.5,2.8,15.01,,
65,01/04/23 11:31:04 AM,3.4,2.8,14.99,,
66,01/04/23 11:31:05 AM,3.1,2.8,14.99,,
67,01/04/23 11:31:06 AM,3.1,2.8,14.98,,
68,01/04/23 11:31:07 AM,3.1,2.8,14.97,,
69,01/04/23 11:31:08 AM,3.4,-1.3,14.97,,
70,01/04/23 11:31:09 AM,1.5,2.8,14.96,,
71,01/04/23 11:31:10 AM,3.4,-1.3,14.94,,
72,01/04/23 11:31:11 AM,3.1,-1.3,14.94,,
73,01/04/23 11:31:12 AM,1.4,-1.3,14.94,,
74,01/04/23 11:31:13 AM,3.4,-1.3,14.94,,
75,01/04/23 11:31:14 AM,1.4,2.8,14.96,,
76,01/04/23 11:31:15 AM,1.5,2.8,14.96,,
77,01/04/23 11:31:16 AM,1.5,2.8,14.96,,
78,01/04/23 11:31:17 AM,37.9,2.8,14.96,,
79,01/04/23 11:31:18 AM,1.5,2.8,14.92,,
80,01/04/23 11:31:19 AM,3.4,2.8,14.92,,
81,01/04/23 11:31:20 AM,3.1,2.8,14.92,,
82,01/04/23 11:31:21 AM,1.4,2.8,14.91,,
83,01/04/23 11:31:22 AM,3.1,2.8,14.89,,
84,01/04/23 11:31:23 AM,1.4,-0.1,14.89,,
85,01/04/23 11:31:24 AM,3.1,2.8,14.87,,
86,01/04/23 11:31:25 AM,3.1,2.8,14.88,,
87,01/04/23 11:31:26 AM,3.4,2.8,14.87,,
88,01/04/23 11:31:27 AM,1.4,-1.7,14.87,,
89,01/04/23 11:31:28 AM,1.4,2.8,14.87,,
90,01/04/23 11:31:29 AM,1.5,2.8,14.87,,
91,01/04/23 11:31:30 AM,3.1,2.8,14.88,,
92,01/04/23 11:31:31 AM,1.3,2.8,14.88,,
93,01/04/23 11:31:32 AM,1.5,2.8,14.89,,
94,01/04/23 11:31:33 AM,1.4,2.8,14.88,,
95,01/04/23 11:31:34 AM,1.5,2.8,14.88,,
96,01/04/23 11:31:35 AM,3.1,-0.1,14.89,,
97,01/04/23 11:31:36 AM,3.4,2.8,14.89,,
98,01/04/23 11:31:37 AM,1.4,2.8,14.89,,
99,01/04/23 11:31:38 AM,1.4,2.8,14.89,,
100,01/04/23 11:31:39 AM,3.4,2.8,14.88,,
101,01/04/23 11:31:40 AM,1.5,2.8,14.89,,
102,01/04/23 11:31:41 AM,1.4,2.8,14.89,,
103,01/04/23 11:31:42 AM,1.5,2.8,14.89,,
104,01/04/23 11:31:43 AM,3.4,2.8,14.89,,
105,01/04/23 11:31:44 AM,1.5,2.8,14.88,,
106,01/04/23 11:31:45 AM,3.1,-0.1,14.88,,
107,01/04/23 11:31:46 AM,3.1,-0.1,14.89,,
108,01/04/23 11:31:47 AM,1.5,2.8,14.89,,
109,01/04/23 11:31:48 AM,1.5,2.8,14.89,,
110,01/04/23 11:31:49 AM,1.5,2.8,14.89,,
111,01/04/23 11:31:50 AM,1.2,2.8,14.88,,
112,01/04/23 11:31:51 AM,3.4,2.8,14.89,,
113,01/04/23 11:31:52 AM,1.4,2.8,14.88,,
